step,eps,ret,cost,deliv
12000,0.62,-1303.1113333333349,76.22707220611922,22.0
24000,0.24,-1371.6893333333276,66.24110310618478,27.0
36000,0.05,-1387.9310000000003,81.76999399795054,21.0
48000,0.05,-912.5636666666633,35.2855378787878,44.0
60000,0.05,793.7610000000001,6.490736967556249,100.66666666666667
