update,step,train_return,cost_per_order,success_rate,ontime_rate,depletion_events,n_delivered,eval_return,policy_loss,value_loss,entropy
100,3200,-192.76528000000002,46.07842986111108,0.2482043380348465,1.0,0.0,31.333333333333332,-974.0889999999999,-0.3362267315387726,0.7481034398078918,1.7396624088287354
200,6400,-198.73146,56.89921112874779,0.2114581275598225,1.0,0.0,26.666666666666668,-1113.3523333333346,-0.1744847297668457,0.679999053478241,1.3482158184051514
300,9600,-209.59150000000002,64.05526694638696,0.19310444734173549,1.0,0.0,24.333333333333332,-1182.8750000000016,-0.0504668764770031,0.5616607069969177,0.6782717704772949
400,12800,-342.31585999999993,60.12834611403088,0.20384351994521488,1.0,0.0,25.666666666666668,-1143.2036666666681,-0.7216156125068665,1.1553539037704468,1.4597715139389038
500,16000,-438.76974,53.36142699020858,0.22189759393149225,0.9876543209876543,0.0,28.0,-1075.5920000000008,0.7157820463180542,0.6622240543365479,0.9114818572998047
600,19200,-252.1012400000001,49.86862650862066,0.24051203034253885,0.9895833333333334,1.0,30.333333333333332,-1055.6153333333345,-0.33186793327331543,1.8352546691894531,1.647067666053772
700,22400,-143.85158000000004,52.657586273107654,0.23263666653497164,0.989247311827957,1.3333333333333333,29.333333333333332,-1102.1736666666704,0.5515657067298889,1.0798513889312744,1.1042604446411133
800,25600,-97.99418000000007,14.101843317972348,1.0,1.0,8.0,29.0,26.670333333333122,0.14206258952617645,1.663398027420044,1.2402825355529785
900,28800,-111.94442000000006,15.662696664234018,0.9336423186256334,1.0,8.0,28.0,-18.67066666666666,0.21034489572048187,0.48326027393341064,1.0878517627716064
1000,32000,-138.70832000000013,14.96936371100164,0.9876543209876543,1.0,8.0,27.666666666666668,1.8346666666664717,-0.2324828952550888,1.3074601888656616,1.3936164379119873
1100,35200,-109.44810000000007,14.828575948584847,0.9555061179087875,1.0,8.0,29.0,6.398000000000103,0.1964045763015747,0.4903085231781006,0.9283784627914429
1200,38400,-64.1930400000001,13.840184181718662,0.9888888888888889,1.0,8.0,30.0,36.49033333333353,0.09311055392026901,0.5175957083702087,0.6641688346862793
1250,40000,-94.1270200000001,13.516711424590731,0.9888888888888889,1.0,8.0,30.666666666666668,46.64099999999994,-0.38954657316207886,2.357055187225342,1.0664441585540771
