episode,step,episode_return,cost_per_order,delivered,dropped,epsilon,loss,assign_actions,charge_actions,noop_actions,charge_open_steps,train_updates
0,62,-418.73300000000006,27.080696969696962,33,32,0.9985275,,43,12,7,56,0
1,143,72.91500000000003,13.021170212765952,47,13,0.99660375,,55,17,9,75,0
2,214,-202.63100000000003,19.689524999999996,40,25,0.9949175,,50,16,5,62,0
3,282,-94.3080000000001,16.95902325581395,43,21,0.9933025,,50,11,7,61,0
4,361,-548.7170000000002,28.338674999999995,40,48,0.99142625,,51,11,17,73,0
5,420,-214.85099999999994,21.711593749999995,32,19,0.990025,,40,11,8,55,0
6,479,-361.898,26.348645161290314,31,27,0.98862375,,42,8,9,55,0
7,545,-166.324,19.59482352941176,34,17,0.98705625,,43,13,10,58,0
8,621,-348.509,23.905763157894732,38,33,0.98525125,,50,17,9,68,0
9,764,518.8559999999997,7.512057142857147,70,7,0.981855,,76,37,30,121,0
10,848,174.5899999999997,11.306399999999995,50,10,0.97986,,60,15,9,74,0
11,907,-511.524,28.61411428571428,35,39,0.97845875,,45,11,3,50,0
12,971,-399.937,30.186038461538452,26,25,0.97693875,,37,17,10,56,0
13,1034,-232.858,21.222228571428566,35,22,0.9754425,3.112795829772949,46,9,8,60,8
14,1105,-169.897,18.995424999999994,40,23,0.97375625,3.4984679222106934,50,13,8,63,26
15,1158,-20.41100000000003,15.167531249999996,32,5,0.9724975,3.2672650814056396,39,9,5,49,39
16,1263,-92.325,16.637840909090905,44,21,0.97000375,4.194919586181641,55,24,26,93,65
17,1313,-489.62699999999995,32.94692592592592,27,32,0.96881625,3.955009698867798,38,6,6,47,78
18,1400,2.003000000000071,14.809657894736837,38,10,0.96675,3.2458972930908203,48,16,23,78,100
19,1464,-680.162,34.85127272727272,33,49,0.96523,2.472022533416748,45,12,7,58,116
20,1523,-355.861,25.962843749999994,32,28,0.96382875,2.3231377601623535,42,12,5,54,130
21,1606,-280.92499999999995,22.381805555555548,36,26,0.9618575,2.153926134109497,46,19,18,77,151
22,1704,151.59500000000003,11.516111111111107,45,7,0.95953,2.244222402572632,55,25,18,87,176
23,1759,-278.297,22.521628571428568,35,25,0.95822375,2.076908588409424,46,5,4,50,189
24,1841,-725.8320000000002,29.097591836734686,49,67,0.95627625,2.438304901123047,60,17,5,75,210
25,1919,-404.7420000000001,24.364799999999995,40,37,0.95442375,1.716461181640625,51,12,15,74,229
26,1994,-327.8330000000001,22.50588372093023,43,37,0.9526425000000001,1.8883156776428223,54,13,8,65,248
27,2071,-463.309,27.382945945945938,37,40,0.95081375,2.3273191452026367,50,13,14,71,267
28,2119,-163.72700000000012,19.954379310344823,29,11,0.94967375,2.7742559909820557,37,6,5,45,279
29,2188,-16.77800000000002,15.1794054054054,37,10,0.948035,2.096705913543701,44,11,14,65,297
30,2277,-144.64300000000003,17.942795454545447,44,25,0.94592125,2.0384624004364014,53,20,16,83,319
31,2352,-100.6,17.086097560975603,41,19,0.94414,2.475902557373047,49,19,7,66,338
32,2452,-351.52699999999993,21.693078431372545,51,46,0.941765,1.5727181434631348,59,23,18,90,363
33,2510,-144.76399999999995,19.052937499999995,32,13,0.9403875,2.0629913806915283,40,11,7,51,377
34,2591,-573.2570000000002,28.095744186046506,43,53,0.93846375,2.723099708557129,54,13,14,76,397
35,2641,-242.472,22.263499999999993,32,20,0.93727625,2.170811653137207,40,6,4,46,410
36,2753,245.44399999999962,10.590965517241376,58,13,0.93461625,1.852462649345398,69,15,28,101,438
37,2854,109.97199999999987,12.921094339622638,53,18,0.9322175,2.033156156539917,61,19,21,91,463
38,2921,-131.30300000000003,18.60608571428571,35,16,0.93062625,1.732489824295044,45,13,9,57,480
39,3008,-290.9729999999998,20.851104166666662,48,39,0.92856,3.530404567718506,57,18,12,80,502
40,3062,-271.42400000000004,25.0516923076923,26,16,0.9272775,2.5612268447875977,36,10,8,52,515
41,3125,-212.29599999999994,21.127757575757574,33,19,0.92578125,2.5368423461914062,44,11,8,56,531
42,3177,-160.214,20.005612903225803,31,14,0.92454625,2.3783187866210938,39,9,4,48,544
43,3244,-398.12500000000006,25.08118421052631,38,36,0.922955,1.9825544357299805,48,15,4,60,561
44,3314,-197.907,20.365057142857136,35,20,0.9212925000000001,2.332045793533325,45,12,13,61,578
45,3376,-83.53099999999995,16.901972222222216,36,13,0.91982,2.065052032470703,46,10,6,56,594
46,3459,-23.79099999999991,15.52624444444444,45,19,0.91784875,2.2304623126983643,54,18,11,72,614
47,3528,-313.53200000000004,22.52338461538461,39,31,0.91621,2.942500352859497,47,10,12,62,632
48,3629,-177.42399999999998,18.379041666666662,48,31,0.91381125,2.319495439529419,59,19,23,94,657
49,3708,-382.13699999999994,24.318219512195117,41,39,0.9119349999999999,1.9034491777420044,53,17,9,71,677
50,3791,-149.848,18.289499999999997,44,26,0.90996375,1.6123576164245605,56,16,11,73,697
51,3857,-183.41200000000003,19.952914285714282,35,19,0.90839625,3.0261852741241455,42,18,6,55,714
52,3936,-444.1120000000001,24.12748936170212,47,48,0.90652,2.050960063934326,56,11,12,71,734
53,3986,-219.837,22.67096428571428,28,15,0.9053325,2.416983127593994,36,9,5,46,746
54,4059,63.22800000000015,13.042049999999994,40,7,0.90359875,2.072847843170166,49,15,9,68,764
55,4132,-140.75900000000013,18.906083333333328,36,18,0.901865,2.239624500274658,44,15,14,70,783
56,4202,63.020000000000124,13.296749999999998,40,8,0.9002025,2.6502761840820312,48,11,11,65,800
57,4268,-116.73300000000005,18.383121212121207,33,13,0.898635,2.4207680225372314,43,14,9,61,817
58,4347,52.20499999999993,13.723536585365848,41,10,0.89675875,2.623481512069702,49,17,13,68,836
59,4401,-169.88299999999995,20.66043333333333,30,14,0.89547625,1.8994778394699097,40,7,7,51,850
60,4463,-130.11600000000007,18.57188571428571,35,16,0.89400375,2.6384782791137695,46,6,10,57,865
61,4533,-283.27099999999996,21.46909302325581,43,34,0.89234125,1.7222203016281128,54,6,10,65,883
62,4595,-98.75499999999995,17.39071428571428,35,13,0.89086875,2.081062078475952,43,11,8,56,898
63,4655,-227.7079999999999,21.21908571428571,35,22,0.88944375,2.942166328430176,47,9,4,53,913
64,4707,-109.20100000000002,17.805033333333327,30,8,0.88820875,1.6939998865127563,39,8,5,46,926
65,4779,-429.77899999999994,25.11534146341463,41,41,0.88649875,2.1339335441589355,52,15,5,63,944
