update,step,train_return,cost_per_order,success_rate,ontime_rate,depletion_events,n_delivered,eval_return,policy_loss,value_loss,entropy
100,3200,-146.21411363636363,15.39320056406981,1.0,1.0,8.0,26.666666666666668,-7.993666666666712,0.06498201936483383,9.307687759399414,1.6607567071914673
200,6400,-190.45276000000004,17.68377882885734,0.5803198515065761,0.9943502824858758,8.0,63.333333333333336,-176.24666666666678,-0.10896868258714676,1.7427111864089966,1.559442400932312
300,9600,-193.06768000000002,16.368380781653745,0.7981468449448745,1.0,8.0,35.0,-43.845333333333265,-0.2338322103023529,6.5919647216796875,1.5525870323181152
400,12800,-123.88838000000001,14.142549502190358,0.9880952380952381,1.0,8.0,29.333333333333332,27.002333333333343,-0.029634792357683182,4.900430202484131,1.952227234840393
500,16000,-119.83015999999999,1.4529415581148093,0.931942971603629,0.8526595209339775,0.0,123.0,1574.2686666666668,0.16966906189918518,3.440826892852783,1.62874436378479
600,19200,-226.1338,2.020871465672182,0.899737675964885,0.877359232891678,0.0,119.0,1470.7420000000013,-0.4460453689098358,2.8153419494628906,2.5398154258728027
700,22400,-49.894519999999936,1.6245380685046122,0.9222756585260026,0.8820484544695071,0.0,121.66666666666667,1554.870000000001,-0.2548438608646393,3.952889919281006,1.6964335441589355
800,25600,184.0672800000001,1.2142053743485473,0.9426062017769298,0.9330307285507816,0.0,125.0,1680.987000000001,-0.34855180978775024,5.196126461029053,1.6610783338546753
900,28800,415.5640800000003,0.8732168542135693,0.9633395126095855,0.9380910042325397,0.0,129.33333333333334,1786.5650000000005,-0.040860366076231,5.564161777496338,2.1994667053222656
1000,32000,564.0228400000005,1.0560008502238794,0.9531783292346673,0.9326068102692382,0.0,128.0,1740.9040000000005,-0.2633512020111084,5.475856304168701,1.314002513885498
1100,35200,798.8399000000006,0.936751864801881,0.9603774656028405,0.9295648795648797,0.0,127.33333333333333,1744.845666666667,0.09446609020233154,7.330838203430176,2.0078604221343994
1200,38400,909.7758600000005,2.192514529914543,0.9328387073682411,0.9324786324786324,2.0,123.33333333333333,1538.2463333333342,-0.45771917700767517,40.74197006225586,2.283236265182495
1250,40000,683.1061600000004,0.9698332315694413,0.9651430789315832,0.948748680838233,0.3333333333333333,128.66666666666666,1771.5673333333343,0.1584121584892273,11.499367713928223,0.7891144156455994
