update,step,train_return,cost_per_order,success_rate,ontime_rate,depletion_events,n_delivered,eval_return,policy_loss,value_loss,entropy
5,10581,-298.81109090909086,1902.662333333333,0.0,0.0,0.0,0.0,-1904.7423333333388,-0.3548528552055359,11.995532989501953,2.037869691848755
10,20964,-326.60240909090913,1903.2126666666663,0.0,0.0,0.0,0.0,-1907.396000000005,-0.36102691292762756,12.915953636169434,2.0704970359802246
15,31497,-205.8785,1903.7236666666665,0.0,0.0,0.0,0.0,-1908.3703333333413,-0.3252198100090027,11.15495491027832,2.036329984664917
20,41982,-231.39785714285716,1903.8129999999999,0.0,0.0,0.0,0.0,-1908.5163333333414,-0.33295300602912903,11.439197540283203,2.0256855487823486
25,52396,-234.91395454545457,1903.848666666666,0.0,0.0,0.0,0.0,-1908.6186666666745,-0.31522831320762634,12.096803665161133,2.057518720626831
30,62990,-230.08768181818184,1903.8506666666665,0.0,0.0,0.0,0.0,-1908.6206666666747,-0.34715062379837036,11.956783294677734,2.0278232097625732
35,73406,-307.01164,1903.8669999999995,0.0,0.0,0.0,0.0,-1908.6703333333414,-0.3359327018260956,13.114278793334961,2.0879499912261963
40,83934,-254.66750000000002,980.0774222222221,0.021700051361068312,0.6666666666666666,0.0,2.6666666666666665,-1829.0160000000076,-0.3516770899295807,12.530166625976562,2.017867088317871
45,94432,-268.6923461538462,217.37423280423283,0.06609971948955,1.0,0.0,8.333333333333334,-1659.9106666666733,-0.2940252423286438,12.989420890808105,2.1316771507263184
50,104862,-202.26488,138.9965262626263,0.10091988990294075,1.0,0.0,12.666666666666666,-1530.7980000000052,-0.33021479845046997,11.986799240112305,2.0973949432373047
55,115302,-306.3952307692308,113.72105742296924,0.11927357012102775,1.0,0.0,15.0,-1461.0743333333382,-0.32097065448760986,13.547945022583008,2.1360199451446533
60,125717,-240.9917692307692,101.29855555555561,0.1321994389791,1.0,0.0,16.666666666666668,-1411.464666666671,-0.3194306492805481,12.039912223815918,2.0541656017303467
65,136261,-197.09080769230772,103.45934422657957,0.12967418645384746,1.0,0.0,16.333333333333332,-1421.3963333333377,-0.31377556920051575,10.8955717086792,2.089531183242798
68,142502,-193.45456000000004,103.45934422657957,0.12967418645384746,1.0,0.0,16.333333333333332,-1421.3963333333377,-0.2948455810546875,11.029167175292969,2.0819804668426514
