update,step,train_return,cost_per_order,success_rate,ontime_rate,depletion_events,n_delivered,eval_return,policy_loss,value_loss,entropy
5,10522,-199.7677083333333,22.348600821460675,0.4081538988318649,0.4939032216660249,0.0,51.666666666666664,-515.4830000000001,-0.3672400414943695,11.943855285644531,2.0148489475250244
10,21049,-215.31851999999998,9.24265598723523,0.6386428386428387,0.4203321630553021,0.0,80.33333333333333,232.59366666666605,-0.3134237825870514,11.713011741638184,2.0522170066833496
15,31531,-201.80999999999997,4.388930480451296,0.7960857162462872,0.5194313687350062,0.0,101.0,826.2206666666635,-0.37265169620513916,12.03475284576416,2.0354180335998535
20,41971,-239.2289166666667,3.439270949510643,0.8383055181027634,0.52986222854506,0.0,106.33333333333333,976.8549999999972,-0.30517885088920593,12.867191314697266,2.0561509132385254
25,52425,-225.0333571428571,2.4530913154368528,0.8893071607433404,0.6578163276276484,0.3333333333333333,111.66666666666667,1206.794666666675,-0.2725030481815338,12.442087173461914,2.0445799827575684
30,62949,-192.34546428571429,2.8709711468621815,0.8972463753908891,0.7117684327235289,1.6666666666666667,114.0,1221.097000000006,-0.30285531282424927,12.274537086486816,2.0178894996643066
35,73405,-207.48833333333334,2.5306519174041453,0.9043860156581435,0.8156833824975417,1.3333333333333333,115.33333333333333,1328.7956666666767,-0.312463641166687,12.386815071105957,2.08000111579895
40,83817,-272.5223571428572,3.5328366013072032,0.8909125188536953,0.823529411764706,3.0,114.33333333333333,1211.2493333333434,-0.3263297975063324,13.395551681518555,2.059065580368042
45,94291,-180.02754838709677,2.612888026934576,0.9079980532122,0.8965711223136966,1.6666666666666667,119.0,1430.1663333333393,-0.27694880962371826,11.543128967285156,2.1165382862091064
50,104744,-118.96615384615387,2.227033391304363,0.9229582146248814,0.8053333333333335,1.3333333333333333,118.33333333333333,1395.668333333345,-0.32773348689079285,11.065154075622559,2.0143368244171143
55,115165,-239.70900000000003,2.5503572943783275,0.916025641025641,0.850642580938661,2.0,116.66666666666667,1363.9173333333465,-0.33288928866386414,12.430389404296875,2.1272237300872803
60,125602,-254.8398518518519,2.187703334265267,0.90072169036902,0.802367068722209,0.3333333333333333,114.66666666666667,1352.4180000000008,-0.3237777650356293,12.772514343261719,2.1223483085632324
65,135961,-222.02638461538467,3.055595349687156,0.8578108186801362,0.7499377495040042,0.3333333333333333,110.0,1170.8549999999948,-0.35924479365348816,12.034988403320312,2.090937852859497
68,142195,-247.05511111111113,3.6036740647776546,0.8342301612896804,0.7031034441289,0.3333333333333333,105.33333333333333,1042.1946666666595,-0.31678640842437744,11.772489547729492,2.091226816177368
