seed,cost_per_order,success_rate,ontime_rate,mean_delivery_time,energy_per_order,depletion_events,idle_pct,charger_utilization,n_delivered,n_dropped,episode_return
0,3.2452187500000127,0.8707482993197279,0.9765625,28.875,0.2202187500000126,2,0.028546203649205414,0.14449676280164803,128,19,1489.6120000000005
1,3.1679586776859634,0.8768115942028986,0.9834710743801653,30.223140495867767,0.22911570247935167,2,0.049586776859504134,0.1357733175914994,121,17,1421.6770000000008
2,2.355961538461552,0.896551724137931,0.9846153846153847,26.79230769230769,0.22596153846155181,1,0.09345300950369588,0.1401795142555438,130,15,1633.7250000000006
