seed,cost_per_order,success_rate,ontime_rate,mean_delivery_time,energy_per_order,depletion_events,idle_pct,charger_utilization,n_delivered,n_dropped,episode_return
0,4.498959349593506,0.8541666666666666,0.9024390243902439,34.68292682926829,0.21440650406505146,4,0.031528662420382166,0.13089171974522293,123,21,1231.6280000000006
1,5.645435185185194,0.8120300751879699,0.8703703703703703,36.407407407407405,0.22043518518519392,4,0.07567017305734645,0.12283678316932474,108,25,940.2930000000001
2,3.5657338709677533,0.8985507246376812,0.9354838709677419,31.169354838709676,0.21976612903226947,4,0.09282822440717177,0.12839791787160207,124,14,1377.8490000000006
