episode,step,episode_return,cost_per_order,delivered,dropped,epsilon,loss,assign_actions,charge_actions,noop_actions,charge_open_steps,train_updates
0,62,-418.73300000000006,27.080696969696962,33,32,0.9985275,,43,12,7,56,0
1,143,72.91500000000003,13.021170212765952,47,13,0.99660375,,55,17,9,75,0
2,214,-202.63100000000003,19.689524999999996,40,25,0.9949175,,50,16,5,62,0
3,278,-227.2290000000001,20.868891891891888,37,24,0.9933975,,47,9,8,59,0
4,325,-108.61999999999998,18.877499999999994,28,8,0.99228125,,36,6,5,46,0
5,399,-496.6099999999999,26.256829268292677,41,44,0.99052375,,49,17,8,63,0
6,495,-217.12200000000004,18.622113207547166,53,38,0.98824375,,62,19,15,86,0
7,582,-604.175,29.143452380952372,42,54,0.9861775,,54,18,15,76,0
8,650,-123.96700000000013,17.848174999999994,40,20,0.9845625,,49,15,4,60,0
9,744,284.78100000000006,9.3146862745098,51,4,0.98233,,60,17,17,81,0
10,825,-109.59200000000008,17.549282051282045,39,18,0.98040625,,49,15,17,71,0
11,883,-151.63199999999995,18.933666666666664,36,18,0.97902875,,49,7,2,52,0
12,945,-412.702,28.252733333333328,30,29,0.97755625,,41,9,12,56,0
13,1009,-232.85700000000003,21.222199999999994,35,22,0.97603625,3.2899179458618164,46,10,8,61,2
14,1076,-122.19900000000007,17.95023684210526,38,18,0.974445,3.658979892730713,47,11,9,61,19
15,1134,-104.32600000000008,17.903310344827585,29,7,0.9730675,4.456019878387451,37,8,13,54,33
16,1233,-191.11599999999999,19.627789473684203,38,22,0.97071625,3.4639415740966797,49,24,26,88,58
17,1283,-799.417,44.60544444444444,27,53,0.96952875,3.4284772872924805,36,7,7,47,70
18,1373,-157.607,18.934424999999994,40,23,0.96739125,3.509836435317993,49,18,23,80,93
19,1425,-286.074,24.200466666666664,30,21,0.96615625,3.2385518550872803,39,7,6,50,106
20,1481,-251.46700000000016,22.947645161290318,31,20,0.96482625,2.6932430267333984,40,7,9,54,120
21,1580,-155.33499999999998,18.298068181818177,44,26,0.962475,3.040459156036377,54,23,22,84,145
22,1677,-34.54699999999997,15.565744186046507,43,17,0.96017125,3.9120798110961914,52,23,22,93,169
23,1737,-232.8499999999999,20.936571428571423,35,21,0.95874625,2.9275736808776855,47,6,7,56,184
24,1788,-242.96999999999997,22.765333333333327,30,18,0.957535,3.042510747909546,41,9,1,46,197
25,1886,-0.8239999999999696,14.559181818181814,44,15,0.9552075,2.4975826740264893,52,24,22,88,221
26,1941,-211.719,21.302781249999995,32,18,0.95390125,3.258418560028076,41,11,3,48,235
27,2033,-352.36699999999996,22.608534883720925,43,37,0.95171625,2.7642602920532227,55,17,20,79,258
28,2095,-331.8420000000001,25.37877419354838,31,25,0.95024375,2.653223991394043,40,12,10,56,273
29,2161,-31.826000000000036,15.722199999999994,30,4,0.94867625,3.368769407272339,38,12,16,59,290
30,2232,-87.77100000000013,17.29558333333333,36,14,0.94699,1.6802849769592285,47,11,13,67,308
31,2306,-144.56899999999993,18.235724999999995,40,21,0.9452325,2.795151472091675,49,11,14,66,326
32,2449,235.2279999999993,11.471577464788737,71,26,0.94183625,2.305999994277954,80,34,29,122,362
33,2548,-387.68999999999994,21.840377358490564,53,49,0.939485,2.7735183238983154,63,21,15,82,387
34,2605,-379.596,28.553428571428565,28,26,0.93813125,2.869863271713257,36,11,10,54,401
35,2657,-160.71800000000005,20.3671724137931,29,12,0.93689625,3.3857579231262207,37,8,7,47,414
36,2787,-38.28399999999985,15.482827586206895,58,32,0.93380875,1.9601926803588867,69,33,28,114,446
37,2852,-3.1580000000001647,14.817578947368414,38,10,0.932265,2.4286606311798096,46,10,9,62,463
38,2925,-160.83299999999997,19.71796969696969,33,16,0.93053125,2.59898042678833,42,17,14,63,481
39,3001,-126.87400000000008,18.169349999999998,40,21,0.92872625,1.829958200454712,49,17,10,69,500
40,3052,-183.76299999999998,22.06511538461538,26,11,0.927515,2.3672914505004883,35,9,7,49,513
41,3126,-6.340000000000032,15.163684210526311,38,11,0.9257575,2.8609554767608643,46,16,12,65,531
42,3193,-305.10900000000004,22.97402702702702,37,29,0.92416625,2.10205078125,45,15,7,62,548
43,3251,-630.5970000000001,31.95991666666666,36,49,0.92278875,2.373708486557007,47,7,4,53,562
44,3317,-463.49800000000005,28.436606060606053,33,35,0.92122125,2.087486982345581,42,15,9,58,579
45,3373,-579.876,30.70931428571428,35,44,0.91989125,2.967341423034668,44,7,5,50,593
46,3446,-198.30900000000008,19.377883720930228,43,28,0.9181575,2.1298680305480957,53,14,6,63,611
47,3539,-464.82899999999995,25.446113636363634,44,47,0.91594875,2.5878193378448486,56,17,20,81,634
48,3645,-616.8900000000001,25.20614035087719,57,71,0.91343125,1.8819389343261719,66,26,14,91,661
49,3719,-86.05599999999998,17.024399999999996,40,18,0.9116737500000001,2.7213339805603027,52,14,8,70,679
50,3793,18.34800000000007,14.309470588235289,34,5,0.90991625,2.941767692565918,44,17,13,64,698
51,3869,-177.24200000000002,19.529263157894732,38,22,0.90811125,2.3400015830993652,47,16,13,66,717
52,3949,-579.498,25.788559999999997,50,58,0.90621125,2.751309633255005,58,15,7,72,737
53,4019,-592.947,31.509628571428564,35,46,0.90454875,3.3764431476593018,49,10,11,64,754
54,4107,3.846999999999838,14.628490196078424,51,22,0.90245875,2.8603920936584473,61,17,10,77,776
55,4168,-110.73899999999995,18.458406249999996,32,12,0.90101,2.9161217212677,43,11,7,58,792
56,4259,86.43899999999996,12.753511627906972,43,9,0.89884875,2.1229326725006104,52,23,16,81,814
57,4343,-318.2370000000001,21.211187499999994,48,40,0.89685375,2.469914436340332,58,16,10,75,835
58,4409,-46.66000000000001,16.074999999999996,34,9,0.8952862500000001,2.4822802543640137,42,13,11,61,852
59,4485,-406.3119999999999,25.161368421052625,38,36,0.89348125,2.58038330078125,48,10,18,68,871
60,4536,-45.105999999999995,16.25164285714285,28,3,0.89227,2.388871669769287,35,10,6,48,884
61,4594,-189.04000000000002,20.116470588235288,34,18,0.8908925,2.6928927898406982,42,8,8,53,898
62,4662,-393.28600000000006,26.611393939393935,33,31,0.8892774999999999,2.2530581951141357,42,15,11,60,915
63,4749,-403.6199999999999,22.323529411764703,51,48,0.88721125,3.152355194091797,61,14,12,77,937
64,4809,-198.25300000000004,20.880406249999993,32,17,0.88578625,3.0750012397766113,41,11,8,56,952
