episode,step,episode_return,epsilon,loss,assign_actions,charge_actions,noop_actions,charge_open_steps,train_updates
65,4876,-193.0030000000001,0.8841950000000001,1.3682979345321655,50,9,6,58,970
66,4937,-178.46599999999995,0.88274625,0.8470296859741211,46,11,4,53,985
67,4996,-391.2060000000001,0.881345,0.6824714541435242,43,11,5,53,1000
68,5072,-442.75,0.87954,0.6713541746139526,48,17,11,68,1019
69,5150,-414.982,0.8776875,1.0441665649414062,47,16,15,70,1038
70,5211,-908.6280000000002,0.87623875,0.9926110506057739,49,9,3,58,1053
71,5278,-64.06100000000004,0.8746475,0.9748250246047974,43,13,11,60,1070
72,5343,-235.074,0.8731037500000001,1.1444886922836304,44,10,11,57,1086
73,5398,-86.39199999999997,0.8717975,0.7798555493354797,47,8,0,49,1100
74,5467,-255.6899999999999,0.87015875,1.0244213342666626,51,13,5,63,1117
75,5533,-113.48700000000007,0.86859125,0.5211664438247681,42,11,13,61,1134
76,5613,-145.312,0.86669125,1.1243565082550049,55,20,5,72,1154
77,5669,-571.962,0.8653612500000001,0.9723237156867981,44,8,4,51,1168
78,5754,-88.56000000000003,0.8633425,0.9584251642227173,47,23,15,77,1189
79,5804,-334.4860000000001,0.862155,1.138176441192627,39,6,5,47,1202
80,5878,-214.21699999999987,0.8603975,0.8321858048439026,48,14,12,66,1220
81,5959,-292.8300000000001,0.85847375,1.0671292543411255,53,15,13,74,1240
82,6011,-145.61899999999994,0.85723875,1.475438117980957,35,11,6,47,1253
83,6079,-242.22600000000003,0.85562375,0.9100342988967896,42,12,14,61,1270
84,6138,-275.083,0.8542225,0.7433357834815979,42,10,7,54,1285
85,6196,-160.59600000000017,0.852845,1.282946228981018,41,8,9,51,1300
86,6250,-272.92499999999995,0.8515625,0.9896536469459534,41,7,6,49,1313
87,6306,-154.44900000000004,0.8502325,1.2931236028671265,35,15,6,55,1327
88,6383,-281.58399999999995,0.84840375,0.6375944018363953,50,18,9,66,1346
89,6449,-202.3459999999999,0.84683625,1.1064893007278442,46,9,11,59,1363
90,6507,-215.4270000000001,0.84545875,0.9134359359741211,42,14,2,50,1377
91,6591,-118.47700000000017,0.84346375,1.164689302444458,57,12,15,75,1398
92,6640,-419.56499999999994,0.8423,0.785780668258667,36,6,7,47,1411
93,6708,-274.64200000000005,0.840685,0.5470035076141357,45,13,10,65,1428
94,6761,-335.0540000000001,0.83942625,0.4398132860660553,40,9,4,48,1441
95,6847,-818.169,0.83738375,1.5159491300582886,59,16,11,83,1462
96,6895,-48.36300000000003,0.83624375,0.4491482675075531,35,6,7,48,1474
97,6952,-219.85600000000002,0.83489,0.9161747097969055,41,11,5,49,1489
98,7020,-33.36600000000004,0.833275,0.8746502995491028,45,14,9,62,1506
99,7090,-640.152,0.8316125,0.8591747283935547,55,10,5,65,1523
100,7143,-361.052,0.83035375,1.2759119272232056,39,8,6,50,1536
101,7204,-233.01100000000002,0.828905,0.9745819568634033,42,10,9,54,1552
102,7284,-36.23700000000006,0.827005,1.0797069072723389,43,19,18,71,1572
103,7349,-401.818,0.82546125,0.8850938081741333,44,11,10,60,1588
104,7422,47.34399999999992,0.8237275,0.8532586097717285,48,11,14,65,1606
105,7484,-189.0449999999999,0.822255,1.0495227575302124,47,7,8,57,1622
106,7559,-320.299,0.82047375,0.8372286558151245,52,14,9,69,1640
107,7622,-332.94199999999995,0.8189775,0.8472433090209961,48,10,5,58,1656
108,7722,-330.16799999999984,0.8166025,1.771948218345642,70,21,9,88,1681
109,7832,126.6730000000001,0.81399,0.9577410221099854,59,25,26,98,1709
110,7883,-623.175,0.81277875,0.956614077091217,40,5,6,48,1721
111,7956,-86.43899999999994,0.811045,0.8185303807258606,48,15,10,70,1740
112,8017,-154.89899999999994,0.80959625,1.5349712371826172,41,8,12,56,1755
113,8087,-149.868,0.80793375,1.0629792213439941,50,13,7,65,1772
114,8136,-316.432,0.80677,0.8427098989486694,37,7,5,46,1785
115,8218,82.17100000000008,0.8048225,1.5082701444625854,54,16,12,74,1805
116,8280,-27.056999999999974,0.80335,0.8375197052955627,44,9,9,55,1821
117,8349,-526.85,0.80171125,0.920275092124939,44,15,10,58,1838
118,8409,-340.23800000000006,0.80028625,1.1906832456588745,37,13,10,55,1853
119,8460,-454.533,0.799075,0.98600172996521,35,6,10,49,1866
120,8584,-237.5450000000001,0.79613,1.0548397302627563,77,21,26,111,1897
121,8631,-528.105,0.7950137500000001,0.9318644404411316,38,6,3,43,1908
122,8688,-4.600000000000051,0.79366,0.8251028060913086,38,11,8,52,1923
123,8771,-479.02099999999996,0.79168875,1.045047402381897,56,15,12,71,1943
124,8818,-249.735,0.7905725,1.5895957946777344,40,4,3,45,1955
125,8882,-494.679,0.7890525,1.1085714101791382,46,10,8,57,1971
126,8977,-771.9729999999998,0.78679625,1.3559224605560303,67,19,9,84,1995
127,9051,-455.028,0.78503875,0.9469366073608398,49,16,9,68,2013
128,9104,-220.675,0.78378,1.1405584812164307,39,11,3,49,2027
129,9165,-250.716,0.78233125,0.7517795562744141,41,12,8,54,2042
130,9232,-13.420999999999978,0.78074,0.7851231098175049,44,14,9,60,2059
131,9321,-94.59899999999998,0.77862625,0.7977836728096008,56,16,17,80,2081
132,9389,-107.83200000000008,0.77701125,1.1697425842285156,49,9,10,60,2098
133,9449,-379.95799999999986,0.77558625,0.9355412125587463,45,7,8,56,2113
134,9501,-415.49,0.77435125,0.8872661590576172,40,6,6,50,2126
135,9575,26.714,0.77259375,1.0224130153656006,47,12,15,69,2144
136,9690,-149.24499999999995,0.7698625,0.9680796265602112,72,22,21,99,2173
137,9759,74.48899999999992,0.76822375,1.2349318265914917,51,11,7,63,2190
138,9847,-414.1239999999999,0.7661337500000001,0.8429643511772156,50,19,19,80,2212
139,9902,-275.321,0.7648275,0.938140869140625,41,8,6,50,2226
140,9948,-39.46599999999998,0.763735,0.6638901233673096,37,3,6,44,2238
141,10032,13.150000000000027,0.76174,0.8911305665969849,45,22,17,79,2259
142,10105,-71.75700000000002,0.76000625,0.9018521308898926,49,14,10,67,2277
143,10204,270.97900000000016,0.757655,1.407617211341858,67,18,14,86,2302
144,10271,34.17499999999981,0.75606375,0.9714222550392151,43,12,12,64,2318
145,10332,-34.91200000000005,0.754615,1.3074766397476196,42,6,13,57,2334
146,10407,-1.8940000000000623,0.75283375,1.0099127292633057,46,15,14,69,2352
147,10477,-157.02700000000002,0.75117125,1.1232670545578003,48,13,9,63,2370
148,10535,14.36699999999989,0.74979375,0.8689228892326355,41,8,9,52,2384
149,10607,-162.54400000000004,0.7480837499999999,1.593933343887329,46,14,12,65,2402
150,10672,-330.7009999999999,0.74654,1.0745216608047485,45,12,8,60,2419
151,10753,-465.241,0.74461625,0.9618754386901855,53,14,14,72,2439
152,10851,241.6180000000002,0.7422887499999999,0.9582913517951965,69,17,12,91,2463
153,10923,-742.4749999999999,0.7405787500000001,1.2974492311477661,48,13,11,66,2481
154,10980,-181.43899999999996,0.739225,0.9408953189849854,41,11,5,53,2496
155,11058,-414.739,0.7373725,0.9989526867866516,52,14,12,67,2515
156,11109,-168.78500000000003,0.73616125,0.8975920677185059,33,6,12,49,2528
157,11160,-575.485,0.73495,0.7011135220527649,43,6,2,47,2541
158,11219,4.709000000000003,0.73354875,0.7093572020530701,43,9,7,58,2555
159,11274,-210.02600000000004,0.7322425,1.041727066040039,41,7,7,53,2569
160,11344,-228.8959999999999,0.73058,0.8054880499839783,48,10,12,64,2587
161,11398,-515.193,0.7292975,0.7973847389221191,43,8,3,50,2600
162,11459,-22.644999999999925,0.72784875,0.7028080224990845,45,11,5,54,2615
163,11519,-180.0470000000001,0.72642375,0.8613336682319641,44,8,8,58,2630
164,11570,-205.80700000000007,0.7252125,1.8137015104293823,37,7,7,48,2643
165,11626,-290.01800000000003,0.7238825,0.3375859558582306,43,8,5,51,2657
166,11686,-280.758,0.7224575,1.3748993873596191,45,7,8,55,2672
167,11769,-336.51800000000003,0.72048625,0.9617213606834412,55,15,13,78,2693
168,11839,98.08699999999996,0.7188237500000001,0.741412878036499,46,13,11,64,2710
169,11898,-63.16700000000002,0.7174225000000001,1.1969963312149048,41,9,9,54,2725
170,11970,-238.19799999999992,0.7157125,0.7632573843002319,53,9,10,67,2743
171,12036,-162.4239999999999,0.714145,0.5661917924880981,46,11,9,63,2760
172,12092,-270.0460000000001,0.712815,1.0927019119262695,38,9,9,50,2774
173,12171,-250.70099999999994,0.71093875,0.8030914664268494,56,15,8,70,2793
174,12239,-27.500999999999948,0.70932375,0.729345440864563,44,15,9,61,2810
175,12292,-100.65899999999998,0.7080649999999999,1.1312501430511475,40,5,8,50,2824
176,12332,-213.58600000000007,0.7071149999999999,0.6362226009368896,33,3,4,39,2834
