update,step,train_return,cost_per_order,success_rate,ontime_rate,depletion_events,n_delivered,eval_return,policy_loss,value_loss,entropy
5,10446,-216.11,139.30837936507933,0.09917229009008355,1.0,0.0,13.0,-1576.248000000012,-0.3422430157661438,12.179305076599121,2.051373243331909
10,20905,-232.3942307692308,20.822781061850023,0.46787049591191093,0.9944444444444445,4.0,60.333333333333336,-351.2493333333334,-0.28430819511413574,12.206192970275879,2.0135421752929688
15,31331,-276.17969999999997,18.209660450257072,0.5228814604662637,1.0,5.666666666666667,67.0,-218.00899999999845,-0.31180325150489807,13.183228492736816,2.1211607456207275
20,41823,-191.93234482758618,33.038873035230345,0.3792560380795675,1.0,5.666666666666667,47.666666666666664,-773.6776666666638,-0.3382802903652191,12.242576599121094,2.003263235092163
25,52317,-112.95478571428575,35.96743851887601,0.33671987146563415,1.0,4.333333333333333,42.333333333333336,-861.230333333333,-0.29321587085723877,10.416847229003906,1.9902504682540894
30,62695,-136.22870370370373,31.816532329988842,0.35582750582750583,1.0,2.6666666666666665,45.0,-708.2133333333317,-0.2861931622028351,11.683857917785645,1.963830590248108
35,73091,-195.3414137931035,40.797457370216,0.28877000192789665,1.0,1.3333333333333333,36.666666666666664,-895.3140000000006,-0.278990775346756,11.8297758102417,2.0730457305908203
40,83569,-214.4187586206897,74.11073325358855,0.1720701144429958,1.0,0.0,21.666666666666668,-1261.5313333333372,-0.2922096252441406,12.397380828857422,2.096559762954712
45,93987,-219.41542857142855,172.88431481481481,0.0822277534141941,1.0,0.0,10.333333333333334,-1599.9396666666726,-0.3249102234840393,12.215950965881348,2.0785343647003174
50,104460,-248.75757142857145,482.28871111111107,0.031618005346818905,1.0,0.0,4.0,-1789.2063333333406,-0.32535043358802795,11.852909088134766,2.0755362510681152
55,114977,-240.2416923076923,1494.8293333333331,0.01356393136054153,1.0,0.0,1.6666666666666667,-1859.0006666666748,-0.29653269052505493,12.16218376159668,2.0462863445281982
60,125456,-216.11461538461543,1603.3141666666663,0.005649717514124294,0.3333333333333333,0.0,0.6666666666666666,-1888.9370000000079,-0.2732260227203369,11.210156440734863,2.0212318897247314
65,135919,-221.7686538461539,1898.9606666666666,0.002824858757062147,0.3333333333333333,0.0,0.3333333333333333,-1898.9040000000077,-0.331961989402771,11.378066062927246,2.073603868484497
68,142169,-169.9666923076923,1504.760333333333,0.00847457627118644,0.3333333333333333,0.0,1.0,-1878.9550000000079,-0.3104780912399292,10.190103530883789,2.0503573417663574
