step,return,success_rate,mean_steps
5000,-3184.9582323913737,0.0,134.6
10000,-3249.1274299617344,0.0,135.0
15000,-182.40735955293457,0.0,213.6
20000,-57.59040841598791,0.0,236.2
25000,-541.9609708540568,0.0,201.2
30000,-330.46036650360946,0.0,215.2
35000,-228.7248206297035,0.0,232.4
40000,-89.9149500670493,0.2,215.8
45000,-264.8978420251438,0.2,222.8
50000,-214.45741016714288,0.2,233.4
55000,-319.8209536134207,0.2,234.0
60000,-264.6415264145087,0.2,237.6
65000,-312.3882912252293,0.0,247.6
70000,-369.0849397012272,0.2,232.0
75000,-1308.1039697789854,0.0,249.0
80000,-1803.0548551327786,0.0,248.4
85000,-1018.6244593690687,0.2,212.6
90000,-246.30897307271374,0.0,247.0
95000,-731.4406805877652,0.0,249.6
100000,-691.6872811647276,0.0,249.8
105000,-846.8267446358857,0.0,249.6
110000,-602.4678100777583,0.0,249.8
115000,-463.1356815458615,0.2,221.0
120000,-176.42299974932166,0.0,238.6
125000,-201.33411187488082,0.0,231.2
130000,-175.28119509090328,0.0,231.0
135000,-200.21376065741032,0.2,214.8
140000,-254.14937550719907,0.0,230.8
145000,-170.66663488023892,0.2,224.0
150000,-175.4361505811741,0.2,218.2
155000,-205.86944777826739,0.2,197.4
160000,-90.91859881921488,0.2,207.0
165000,-160.75023034054445,0.2,194.6
170000,-71.1912331682712,0.2,208.0
175000,-36.734152053579265,0.4,160.6
180000,-141.19301933911535,0.2,201.8
185000,-201.8212761939993,0.2,217.6
190000,-155.8034066464679,0.2,200.8
195000,-175.88449145403797,0.2,196.0
200000,-274.91624720620285,0.2,198.2
205000,-379.7916497558899,0.2,198.2
210000,-210.88944609141123,0.4,153.0
215000,-30.75866600939205,0.4,154.4
220000,-702.402686898776,0.2,205.2
225000,-795.8121291637519,0.2,193.8
230000,-81.16354607500556,0.2,194.4
235000,-151.93360169268863,0.2,199.2
240000,-181.14691249069497,0.4,173.2
245000,-33.27626565845655,0.6,152.0
250000,-107.0589340631248,0.8,124.2
