update,step,train_return,cost_per_order,success_rate,ontime_rate,depletion_events,n_delivered,eval_return,policy_loss,value_loss,entropy
100,3200,-265.0357209302326,98.00580026455032,0.1378491564932243,1.0,0.0,17.333333333333332,-1391.437666666671,-0.49037060141563416,18.062910079956055,2.268832206726074
200,6400,-303.17938000000004,140.0301068376069,0.09779542491406899,1.0,0.0,12.333333333333334,-1540.5023333333386,0.118643619120121,26.45406723022461,2.4403579235076904
300,9600,-258.15646,73.55659960317463,0.1713655459418171,1.0,0.0,21.666666666666668,-1262.333333333336,0.2108086347579956,5.061765670776367,1.5855774879455566
400,12800,-261.75165999999996,39.05164315476187,0.28224223986935854,0.9800595238095239,0.0,35.666666666666664,-848.8593333333338,-0.008920110762119293,8.153153419494629,1.3525680303573608
500,16000,-198.40885999999998,21.760528153153142,0.4349782044697299,0.9774774774774775,0.0,55.666666666666664,-254.1129999999997,0.2801972031593323,17.34627342224121,2.2038867473602295
600,19200,-213.6686200000001,77.38333333333337,0.16363438821065937,0.9841269841269842,0.0,20.666666666666668,-1293.5606666666702,-0.5022472143173218,12.387365341186523,2.1658358573913574
700,22400,-212.37856000000008,50.939619753086426,0.23944134961084115,0.9543209876543209,0.0,30.333333333333332,-1012.9780000000013,-0.3417881727218628,5.252974510192871,2.1922919750213623
800,25600,-235.9238400000001,49.77898845081639,0.23523961913792424,0.967741935483871,0.0,29.666666666666668,-1029.0320000000004,0.1756247580051422,12.141105651855469,1.5336289405822754
900,28800,-136.49824000000004,46.72550943100356,0.24564023547074396,1.0,0.0,31.0,-983.9283333333334,-0.10433842241764069,21.344419479370117,2.4480910301208496
1000,32000,-22.49174000000008,50.617196479885074,0.23293627276678128,0.9542491485738612,0.0,29.333333333333332,-1040.4563333333338,-0.04584745317697525,8.262618064880371,1.2574511766433716
1100,35200,358.4098000000002,9.02381984379395,0.7176527501530595,0.8964305546540894,3.6666666666666665,93.0,604.2353333333305,-0.35563457012176514,23.69015121459961,1.6647100448608398
1200,38400,608.9814200000004,0.9122480689245546,0.9700195734512823,0.9427658942364824,0.3333333333333333,129.33333333333334,1786.7733333333342,0.018627915531396866,15.685179710388184,1.153529167175293
1250,40000,679.5294400000005,1.0776558186375873,0.9678008213288019,0.9353553817109592,0.6666666666666666,128.33333333333334,1744.0726666666676,-0.12532956898212433,4.656744003295898,1.504463791847229
