episode,step,episode_return,epsilon,loss,assign_actions,charge_actions,noop_actions,charge_open_steps,train_updates
66,4903,-416.67900000000003,0.88355375,8.394510269165039,48,9,6,57,976
67,4970,-212.05100000000007,0.8819625,11.501669883728027,49,11,7,60,993
68,5027,-271.8619999999999,0.8806087499999999,10.70859432220459,45,8,4,52,1007
69,5126,-343.1649999999999,0.8782575,8.31712532043457,62,22,15,88,1032
70,5178,-502.3769999999999,0.8770225,10.867366790771484,41,4,7,48,1045
71,5243,-96.95399999999995,0.87547875,7.318032264709473,45,12,8,59,1061
72,5310,-247.35200000000006,0.8738875,12.105456352233887,44,17,6,59,1078
73,5388,21.142000000000053,0.872035,9.629095077514648,58,12,8,70,1098
74,5454,-97.71600000000007,0.8704675,8.413532257080078,46,11,9,62,1114
75,5509,-191.32999999999998,0.86916125,13.349515914916992,37,10,8,51,1128
76,5587,-288.4280000000001,0.8673087500000001,12.232315063476562,48,17,13,71,1147
77,5664,31.940000000000026,0.86548,12.524842262268066,52,18,7,70,1167
78,5744,-220.653,0.86358,9.449164390563965,52,16,12,74,1187
79,5795,-189.6530000000001,0.86236875,12.397895812988281,38,8,5,45,1199
80,5867,-413.44000000000005,0.86065875,7.948733329772949,50,11,11,65,1217
81,5942,-135.68600000000006,0.8588775,10.334786415100098,49,12,14,68,1236
82,6002,-372.023,0.8574525,10.273462295532227,42,10,8,55,1251
83,6056,-200.185,0.85617,13.70954418182373,39,10,5,49,1265
84,6112,-74.75200000000002,0.85484,10.281159400939941,44,5,7,51,1279
85,6169,-221.6690000000001,0.85348625,6.820860862731934,43,9,5,55,1293
86,6224,-477.494,0.85218,6.561477184295654,46,5,4,52,1307
87,6292,-126.56700000000001,0.850565,8.270564079284668,46,13,9,62,1324
88,6373,-216.08500000000015,0.84864125,8.454326629638672,57,13,11,75,1344
89,6439,-406.63800000000003,0.8470737500000001,10.407596588134766,47,8,11,61,1360
90,6530,-662.933,0.8449125,12.99832820892334,67,17,7,80,1383
91,6616,105.14599999999984,0.84287,8.580977439880371,52,19,15,77,1405
92,6662,-394.52,0.8417775000000001,10.11797046661377,38,2,6,46,1416
93,6718,-65.17899999999989,0.8404475,5.777324676513672,41,9,6,50,1430
94,6775,-721.7269999999999,0.83909375,6.497251510620117,43,10,4,50,1444
95,6829,-211.86400000000006,0.83781125,8.982950210571289,37,12,5,50,1458
96,6900,-129.27599999999995,0.836125,11.89408016204834,47,16,8,65,1476
97,6948,-390.7550000000001,0.834985,10.264723777770996,37,6,5,45,1488
98,7041,-464.09200000000004,0.83277625,17.666213989257812,60,17,16,83,1511
99,7118,-105.92400000000004,0.8309475,8.107433319091797,47,17,13,72,1530
100,7208,-628.8,0.82881,10.707356452941895,63,18,9,79,1553
101,7275,-287.78999999999996,0.82721875,8.965968132019043,48,13,6,60,1569
102,7349,-523.0699999999999,0.82546125,7.520974636077881,49,12,13,68,1588
103,7408,-317.77200000000005,0.82406,9.56656551361084,42,10,7,53,1603
104,7488,-342.366,0.82216,9.017308235168457,54,14,12,73,1623
105,7560,-365.355,0.82045,13.049449920654297,54,11,7,66,1641
106,7639,1.8600000000001629,0.81857375,6.257297515869141,54,14,11,71,1660
107,7694,-236.65800000000007,0.8172675,9.979804992675781,39,10,6,51,1674
108,7760,-95.28299999999999,0.8157,8.7908353805542,45,14,7,60,1691
109,7838,-8.039000000000115,0.8138475000000001,11.605223655700684,50,17,11,71,1710
110,7894,-106.44800000000004,0.8125175,9.906425476074219,44,6,6,53,1724
111,7954,-50.27099999999997,0.8110925,8.499981880187988,44,9,7,59,1739
112,8034,130.0279999999998,0.8091925,9.468462944030762,55,12,13,72,1759
113,8110,-483.10999999999996,0.8073875,14.133481979370117,58,13,5,70,1778
114,8162,-312.2750000000001,0.8061525,10.988120079040527,39,10,3,47,1791
115,8227,-56.62899999999999,0.80460875,14.497978210449219,46,12,7,61,1807
116,8309,-805.399,0.80266125,8.646934509277344,56,18,8,70,1828
117,8354,-84.10000000000002,0.8015925,8.711725234985352,33,5,7,44,1839
118,8424,-82.98900000000016,0.79993,16.348487854003906,48,16,6,66,1857
119,8498,-177.27499999999998,0.7981725,10.131204605102539,44,13,17,66,1875
120,8591,-559.4570000000001,0.7959637500000001,9.312376022338867,55,18,20,83,1898
121,8640,-409.931,0.7948,6.863542556762695,36,4,9,46,1911
122,8721,-765.822,0.79287625,8.318674087524414,55,14,12,74,1931
123,8792,-476.395,0.7911900000000001,12.305007934570312,47,14,10,65,1949
124,8844,-161.289,0.789955,12.120923042297363,42,7,3,50,1962
125,8903,-656.1899999999999,0.78855375,11.754850387573242,40,9,10,54,1976
126,8963,-50.42300000000002,0.78712875,5.764544486999512,46,8,6,56,1991
127,9041,-241.53499999999983,0.78527625,9.496810913085938,52,15,11,66,2011
128,9119,-364.17299999999994,0.78342375,11.44258975982666,55,14,9,70,2030
129,9197,-190.236,0.78157125,8.657593727111816,54,14,10,74,2050
130,9264,-283.8440000000001,0.77998,8.339868545532227,46,13,8,59,2067
131,9343,130.1589999999999,0.77810375,11.5691556930542,55,14,10,74,2086
132,9404,-101.33999999999999,0.776655,10.137503623962402,45,9,7,55,2102
133,9474,-56.53700000000006,0.7749925,9.965411186218262,54,10,6,65,2119
134,9516,-329.466,0.773995,10.959607124328613,33,4,5,41,2130
135,9598,-435.7880000000002,0.7720475,8.841432571411133,56,16,10,70,2150
136,9690,-219.94200000000006,0.7698625,9.182232856750488,54,22,16,86,2173
137,9775,-201.67400000000015,0.7678437499999999,6.681168079376221,58,16,11,77,2194
138,9844,-1.1579999999999018,0.766205,9.14284896850586,45,13,11,64,2212
139,9891,-309.965,0.76508875,11.726861953735352,37,3,7,45,2223
140,9955,-409.87,0.76356875,10.011919021606445,47,8,9,56,2239
141,10011,-80.98799999999996,0.76223875,18.14491081237793,42,8,6,54,2253
142,10078,-582.5720000000003,0.7606475,10.7589111328125,49,8,10,62,2270
143,10151,-372.17100000000005,0.75891375,9.807608604431152,48,12,13,68,2288
144,10231,-546.0910000000001,0.75701375,10.078767776489258,57,18,5,68,2308
145,10302,-247.75300000000004,0.7553275,13.790900230407715,51,12,8,65,2326
146,10360,-412.321,0.75395,14.430929183959961,44,10,4,56,2341
147,10430,-663.1960000000001,0.7522875,10.496302604675293,49,8,13,64,2358
148,10490,-39.62399999999988,0.7508625,12.06139087677002,40,10,10,56,2373
149,10546,-161.71399999999997,0.7495324999999999,16.961109161376953,41,12,3,48,2387
150,10602,-124.09200000000007,0.7482025,14.421628952026367,39,6,11,54,2401
151,10690,-1088.3319999999999,0.7461125,8.095805168151855,56,18,14,77,2423
152,10775,-24.130000000000138,0.74409375,12.916502952575684,53,17,15,77,2444
153,10828,-118.92700000000005,0.742835,7.750514984130859,39,5,9,51,2458
154,10897,-530.1990000000001,0.74119625,9.368556022644043,52,8,9,63,2475
155,10969,-265.264,0.73948625,6.31888484954834,47,14,11,65,2493
156,11033,-602.696,0.73796625,17.353960037231445,44,11,9,57,2509
157,11082,-497.72300000000007,0.7368025,9.186307907104492,38,5,6,46,2521
158,11162,-310.6120000000001,0.7349025,12.966936111450195,57,15,8,74,2541
159,11239,0.7009999999998158,0.73307375,12.672527313232422,55,13,9,72,2560
160,11291,-114.66500000000006,0.7318387500000001,11.415294647216797,43,7,2,47,2573
161,11335,-153.50900000000004,0.73079375,12.876140594482422,37,5,2,42,2584
162,11393,-115.43700000000008,0.7294162500000001,8.940659523010254,45,7,6,54,2599
163,11450,-236.20500000000004,0.7280625000000001,9.769379615783691,42,12,3,51,2613
164,11518,-338.53,0.7264475,11.953237533569336,45,11,12,61,2630
165,11597,-131.194,0.72457125,10.711186408996582,54,18,7,67,2650
166,11666,-127.9359999999999,0.7229325,8.109870910644531,52,10,7,61,2667
167,11727,18.219999999999885,0.72148375,10.350110054016113,46,6,9,57,2682
168,11790,-121.175,0.7199875,9.91186809539795,42,12,9,61,2698
169,11859,-13.04200000000003,0.7183487500000001,7.602436065673828,45,13,11,59,2715
170,11926,37.55799999999988,0.7167574999999999,9.150036811828613,48,8,11,64,2732
171,11980,-219.87699999999995,0.7154750000000001,13.173765182495117,41,8,5,53,2746
172,12039,-150.19400000000002,0.7140737500000001,10.554618835449219,44,9,6,55,2760
173,12114,-31.691000000000074,0.7122925,11.960481643676758,54,13,8,66,2779
174,12170,-189.281,0.7109624999999999,10.173748970031738,35,8,13,54,2793
175,12234,-95.36099999999995,0.7094425,10.135871887207031,44,14,6,60,2809
176,12292,-242.84200000000004,0.7080649999999999,14.079172134399414,43,8,7,54,2824
177,12381,158.6880000000001,0.70595125,14.466080665588379,62,20,7,82,2846
