episode,step,episode_return,cost_per_order,delivered,dropped,epsilon,loss,assign_actions,charge_actions,noop_actions,charge_open_steps,train_updates
38,2884,-292.04400000000004,22.913257142857137,35,26,0.931505,1.9848161935806274,44,13,8,59,471
39,2974,47.00200000000001,13.815181818181815,44,13,0.9293675,2.52862548828125,52,25,13,83,493
40,3035,-174.9029999999999,20.305718749999997,32,16,0.92791875,2.053730010986328,40,9,12,55,508
41,3121,-880.98,33.4227659574468,47,77,0.92587625,2.3983781337738037,58,17,11,73,530
42,3186,-324.2269999999999,23.35559459459459,37,30,0.9243325,2.8074183464050293,45,13,7,62,546
43,3239,40.453,13.733031249999994,32,2,0.92307375,2.408748149871826,40,4,9,49,559
44,3322,-175.60400000000004,18.82104761904761,42,25,0.9211025,2.3622167110443115,53,18,12,76,580
45,3390,26.498999999999853,14.011378378378373,37,7,0.9194875,1.535750389099121,46,14,8,63,597
46,3474,-118.96200000000005,17.58731818181818,44,24,0.9174925,2.2636871337890625,51,21,12,73,618
47,3546,-82.51799999999986,16.820216216216213,37,14,0.9157824999999999,2.057091474533081,47,8,17,71,636
48,3640,-594.0519999999999,26.155333333333328,51,61,0.91355,2.3593506813049316,63,18,13,79,660
49,3709,62.90299999999995,13.111305555555552,36,4,0.91191125,1.7338875532150269,44,16,9,63,677
50,3772,-56.367999999999995,16.50817647058823,34,10,0.910415,2.5237157344818115,42,12,9,53,693
51,3856,-13.82000000000005,15.22230769230769,39,12,0.90842,2.4595112800598145,49,20,15,72,714
52,3943,-216.8379999999999,19.219142857142852,49,35,0.9063537500000001,2.1952826976776123,59,18,10,72,735
53,3987,-169.79099999999997,21.288185185185178,27,11,0.90530875,2.1407134532928467,35,8,1,38,746
54,4071,-340.24299999999994,22.5616976744186,43,37,0.90331375,2.024935483932495,53,22,9,74,767
55,4148,-398.7830000000001,23.719840909090905,44,42,0.901485,2.4243812561035156,52,14,11,67,787
56,4248,165.59799999999996,11.367702127659571,47,8,0.89911,2.5746002197265625,60,28,12,89,812
57,4346,-83.93100000000001,16.130019230769225,52,28,0.8967825,2.473860740661621,61,20,17,88,836
58,4405,-243.178,21.231657142857138,35,22,0.89538125,2.9109086990356445,44,8,7,55,851
59,4474,-245.47199999999992,21.816722222222218,36,25,0.8937425,2.1133408546447754,46,16,7,60,868
60,4529,-136.10000000000002,18.819999999999993,33,14,0.89243625,2.632448196411133,41,10,4,49,882
61,4591,-277.00800000000004,23.185249999999996,32,22,0.89096375,1.8772106170654297,42,12,8,55,897
62,4670,-21.028999999999954,15.232531914893611,47,20,0.8890875,2.292328119277954,57,12,10,70,917
