step,return,success_rate,mean_steps
5000,-2649.06342780262,0.0,128.0
10000,-2303.0505015803765,0.0,129.2
15000,-63.62144137008681,0.0,250.0
20000,-63.61704833685386,0.0,250.0
25000,-63.6169845157788,0.0,250.0
30000,-63.6169830001081,0.0,250.0
35000,-58.558423929096804,0.0,250.0
40000,-58.558423929096804,0.0,250.0
45000,-58.558423929096804,0.0,250.0
50000,-58.558423929096804,0.0,250.0
55000,-58.558423929096804,0.0,250.0
60000,-58.55843224504282,0.0,250.0
65000,-58.558423931597886,0.0,250.0
70000,-58.558423929096804,0.0,250.0
75000,-58.558423929096804,0.0,250.0
80000,-63.61661152860095,0.0,250.0
85000,-123.42243461643423,0.0,246.2
90000,-98.2313743377963,0.0,247.6
95000,-103.16428886182942,0.0,245.8
100000,-203.68888361804193,0.0,235.6
105000,-103.23260729327339,0.0,241.8
110000,-88.35859907012107,0.0,246.8
115000,-53.5167249157975,0.0,249.6
120000,-58.05077021686193,0.0,250.0
125000,-63.618240220475535,0.0,250.0
130000,-68.26088937796092,0.0,248.4
135000,-78.932865192196,0.0,248.0
140000,-64.13825231631745,0.0,247.8
145000,-73.88578074449569,0.0,248.2
150000,-83.41287345265125,0.0,242.4
155000,-213.20552191108268,0.0,236.0
160000,-373.23923903978937,0.0,226.8
165000,-298.0918741468217,0.0,233.0
170000,-138.40486846612063,0.0,246.2
175000,-317.96820181960726,0.0,232.6
180000,-317.64218464039016,0.0,231.4
185000,-142.22283721638155,0.0,240.2
190000,-122.35260237934668,0.0,242.6
195000,-92.72336676467317,0.0,246.2
200000,-82.83349326880617,0.0,246.6
205000,-117.64688966874633,0.0,245.2
210000,-62.878119156137885,0.0,248.6
215000,-63.41527443771948,0.0,249.8
220000,-67.99885279545961,0.0,248.8
225000,-78.3767298741413,0.0,249.2
230000,-63.554437775285166,0.0,250.0
235000,-63.395546525422255,0.0,249.6
240000,-113.05230313880551,0.0,246.6
245000,-133.00997271330755,0.0,243.0
250000,-72.83452335504867,0.0,247.8
