update,step,train_return,cost_per_order,success_rate,ontime_rate,depletion_events,n_delivered,eval_return,policy_loss,value_loss,entropy
200,6400,-231.70054000000005,53.48758797524314,0.2219364439703423,1.0,0.0,28.0,-1073.5256666666673,-0.20685617625713348,3.012514591217041,1.7290863990783691
400,12800,-239.18180000000004,1.336094245103047,0.9352473203510021,0.949558684250865,0.0,125.0,1676.219666666667,0.08714400231838226,9.188143730163574,2.2654011249542236
600,19200,-147.80582,0.8338341208211947,0.9681530676786844,0.9169169197210612,0.0,129.0,1773.1756666666672,-0.22124996781349182,3.502859115600586,2.1598076820373535
800,25600,593.6393800000002,0.9339826362374334,0.9601000414089981,0.9461182459794054,0.0,127.66666666666667,1760.3783333333342,-0.5759003758430481,13.065510749816895,1.632212519645691
1000,32000,1189.8052600000008,0.8567568298661087,0.9656567864900847,0.9228190259843775,0.0,129.0,1773.5846666666682,-0.00754876434803009,4.746256351470947,1.2386277914047241
1200,38400,1316.2622600000009,0.6765650219049695,0.9779846059277869,0.9215818121311594,0.0,131.0,1824.154333333334,0.11114966869354248,3.541196823120117,1.3636505603790283
1400,44800,1256.7652200000005,0.7055230815873448,0.9731317414643176,0.9336530687784305,0.0,130.0,1813.9953333333335,-0.00018730759620666504,15.395223617553711,1.7840983867645264
1600,51200,741.8626400000004,0.8274972662755907,0.9750924503612675,0.9260610970339838,0.3333333333333333,129.66666666666666,1790.3846666666668,0.09232451766729355,5.450135231018066,1.1675351858139038
1800,57600,1021.1049800000005,0.6064029567614587,0.9800220039022545,0.9052117121066012,0.0,130.0,1809.2840000000003,-0.20571012794971466,4.1224751472473145,0.870850682258606
2000,64000,1079.1330200000004,0.7745005950915367,0.987524782104515,0.8891488139210376,0.6666666666666666,128.66666666666666,1757.5903333333338,-0.4896695017814636,6.730270862579346,1.3072956800460815
2200,70400,979.0840000000005,0.643458742818809,0.977680170575693,0.9162033335645435,0.0,130.0,1810.890666666667,0.03903396427631378,6.523460865020752,0.9907937049865723
2400,76800,1134.2320200000004,1.2264237700574319,0.9681113421852503,0.9124021235696792,1.0,128.66666666666666,1715.3516666666667,-0.24830392003059387,5.5715436935424805,1.8135273456573486
2600,83200,1198.9610200000004,0.5932787016506688,0.9827886710239652,0.8953559990145356,0.0,129.0,1789.1800000000003,-0.19187167286872864,19.961177825927734,1.3048957586288452
2800,89600,1024.4462600000004,2.686942128059796,0.9362231274249201,0.8715794863712226,3.0,122.0,1436.008000000001,-0.321824312210083,5.775371074676514,1.1109825372695923
3000,96000,840.8006800000004,0.6113646914489183,0.9823960213938897,0.8760053343785401,0.0,128.0,1761.0576666666675,-0.12570752203464508,5.467253684997559,1.7421364784240723
3125,100000,1173.5319600000005,1.703868058136188,0.9569409982046991,0.8968248069697345,1.6666666666666667,126.66666666666667,1627.978000000001,-0.04586738348007202,4.87791633605957,0.8159813284873962
